GENE.NAME,ID,start,end,X,PMM,seq_id,strand,bound_moiety,em_BRITE,em_BiGG_Reaction,em_CAZy,em_COG_cat,em_EC,em_GOs,em_KEGG_Module,em_KEGG_Pathway,em_KEGG_Reaction,em_KEGG_TC,em_KEGG_ko,em_KEGG_rclass,em_OGs,em_PFAMs,em_Preferred_name,em_desc,em_evalue,em_max_annot_lvl,em_score,em_target,em_tcov,end_range,gene,product,protein_id,type
pcnB,cds-WP_011131780.1,137792,139039,148,NA,NC_005072.1,+,NA,"ko00000,ko00001,ko01000,ko03016,ko03019",,,H,"2.7.7.19,2.7.7.72",,,"ko03013,ko03018,map03013,map03018","R09382,R09383,R09384,R09386",,"ko:K00970,ko:K00974",RC00078,"COG0617@1|root,COG0617@2|Bacteria,1G1NC@1117|Cyanobacteria,1MKKP@1212|Prochloraceae","PolyA_pol,PolyA_pol_RNAbd,tRNA_NucTran2_2",pcnB,Alternative locus ID,8.08E-299,1117|Cyanobacteria,815,59919.PMM0141,100,,,CCA tRNA nucleotidyltransferase,WP_011131780.1,CDS
PMM0142,cds-WP_011131781.1,139098,139517,149,PMM0142,NC_005072.1,+,NA,,,,S,,,,,,,,,"COG0724@1|root,COG0724@2|Bacteria,1GDGP@1117|Cyanobacteria,1MMIJ@1212|Prochloraceae",RRM_1,,Alternative locus ID,2.93E-93,1117|Cyanobacteria,272,59919.PMM0142,100,,,RNA-binding protein,WP_011131781.1,CDS
crtB,cds-WP_011131782.1,139518,140426,150,PMM0143,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000,ko01006",,,I,"2.5.1.32,2.5.1.99","GO:0003674,GO:0003824,GO:0004310,GO:0004311,GO:0004337,GO:0004659,GO:0005488,GO:0006066,GO:0006629,GO:0006694,GO:0006696,GO:0006720,GO:0006721,GO:0008150,GO:0008152,GO:0008202,GO:0008204,GO:0008299,GO:0008610,GO:0009058,GO:0009987,GO:0016108,GO:0016109,GO:0016114,GO:0016116,GO:0016117,GO:0016125,GO:0016126,GO:0016128,GO:0016129,GO:0016740,GO:0016765,GO:0016767,GO:0042440,GO:0043167,GO:0043169,GO:0044107,GO:0044108,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0046148,GO:0046165,GO:0046872,GO:0051996,GO:0071704,GO:0097384,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1902652,GO:1902653",M00097,"ko00906,ko01062,ko01100,ko01110,map00906,map01062,map01100,map01110","R02065,R04218,R07270,R10177",,ko:K02291,"RC00362,RC01101,RC02869","COG1562@1|root,COG1562@2|Bacteria,1G078@1117|Cyanobacteria,1MKMJ@1212|Prochloraceae",SQS_PSY,crtB,Alternative locus ID,4.98E-220,1117|Cyanobacteria,606,59919.PMM0143,100,,,phytoene synthase,WP_011131782.1,CDS
pds,cds-WP_011131783.1,140446,141867,151,PMM0144,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,E,1.3.5.5,"GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0006629,GO:0006720,GO:0006721,GO:0006950,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009635,GO:0009636,GO:0009987,GO:0016020,GO:0016108,GO:0016109,GO:0016114,GO:0016116,GO:0016117,GO:0016491,GO:0016705,GO:0042221,GO:0042440,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044464,GO:0046148,GO:0050896,GO:0055114,GO:0071704,GO:0071944,GO:1901576",M00097,"ko00906,ko01100,ko01110,map00906,map01100,map01110","R04786,R04787,R07510,R09652,R09653,R09654",,ko:K02293,"RC01214,RC01958,RC03092,RC03093","COG0493@1|root,COG3349@1|root,COG0493@2|Bacteria,COG3349@2|Bacteria,1G0NM@1117|Cyanobacteria,1MKU2@1212|Prochloraceae",Amino_oxidase,pds,Phytoene desaturase,0,1117|Cyanobacteria,958,59919.PMM0144,100,,pds,15-cis-phytoene desaturase,WP_011131783.1,CDS
ndhM,cds-WP_011131784.1,141958,142305,152,PMM0145,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000",,,C,1.6.5.3,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0008150,GO:0008152,GO:0009579,GO:0016020,GO:0016491,GO:0016651,GO:0016655,GO:0034357,GO:0042651,GO:0044424,GO:0044436,GO:0044464,GO:0048037,GO:0048038,GO:0055114,GO:0071944",M00145,"ko00190,ko01100,map00190,map01100",R11945,,ko:K05584,RC00061,"2AK12@1|root,31AQM@2|Bacteria,1G6KY@1117|Cyanobacteria,1MMHP@1212|Prochloraceae",NdhM,ndhM,"electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient. Cyanobacterial NDH-1 also plays a role in inorganic carbon- concentration",7.23E-78,1117|Cyanobacteria,231,59919.PMM0145,100,,,NAD(P)H-quinone oxidoreductase subunit M,WP_011131784.1,CDS
PMM0146,cds-WP_011131785.1,142302,142919,153,PMM0146,NC_005072.1,+,NA,,,,S,,,,,,,,,"28NVC@1|root,2ZBTH@2|Bacteria,1G51V@1117|Cyanobacteria,1MKS5@1212|Prochloraceae",DUF3172,,Alternative locus ID,2.25E-145,1117|Cyanobacteria,409,59919.PMM0146,100,,,DUF3172 domain-containing protein,WP_011131785.1,CDS
rbcR,cds-WP_011131786.1,142916,143869,154,PMM0147,NC_005072.1,-,NA,,,,K,,"GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1903506,GO:2000112,GO:2001141",,,,,,,"COG0583@1|root,COG0583@2|Bacteria,1G030@1117|Cyanobacteria,1MKHP@1212|Prochloraceae","HTH_1,LysR_substrate",rbcR,transcriptional regulator,2.03E-222,1117|Cyanobacteria,613,59919.PMM0147,100,,,LysR family transcriptional regulator,WP_011131786.1,CDS
PMM0148,cds-WP_011131787.1,143954,144682,155,PMM0148,NC_005072.1,+,NA,,,,O,,,,,,,,,"COG2020@1|root,COG2020@2|Bacteria,1GQ1U@1117|Cyanobacteria,1MKVP@1212|Prochloraceae",NnrU,,Alternative locus ID,4.64E-170,1117|Cyanobacteria,475,59919.PMM0148,100,,,membrane protein,WP_011131787.1,CDS
ndhF,cds-WP_011131788.1,144716,146728,156,PMM0149,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000",,,CP,1.6.5.3,"GO:0003674,GO:0003824,GO:0003954,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0006091,GO:0006119,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008137,GO:0008150,GO:0008152,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0015980,GO:0016020,GO:0016021,GO:0016310,GO:0016491,GO:0016651,GO:0016655,GO:0017144,GO:0019637,GO:0019693,GO:0022900,GO:0022904,GO:0031224,GO:0034641,GO:0042773,GO:0044237,GO:0044238,GO:0044281,GO:0044425,GO:0044464,GO:0045333,GO:0046034,GO:0046483,GO:0048037,GO:0048038,GO:0050136,GO:0055086,GO:0055114,GO:0071704,GO:0071944,GO:0072521,GO:1901135,GO:1901360,GO:1901564",M00145,"ko00190,ko01100,map00190,map01100",R11945,,ko:K05577,RC00061,"COG1009@1|root,COG1009@2|Bacteria,1G1DT@1117|Cyanobacteria,1MKGV@1212|Prochloraceae","Proton_antipo_C,Proton_antipo_M,Proton_antipo_N",ndhF,"COG1009 NADH ubiquinone oxidoreductase subunit 5 (chain L) Multisubunit Na H antiporter, MnhA subunit Energy production and conversion Inorganic ion transport and metabolism",0,1117|Cyanobacteria,1305,59919.PMM0149,100,,,NAD(P)H-quinone oxidoreductase subunit 5,WP_011131788.1,CDS
ndhD1,cds-WP_011131789.1,146813,148453,157,PMM0150,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000",,,C,1.6.5.3,"GO:0003674,GO:0003824,GO:0003954,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0006091,GO:0006119,GO:0006120,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008137,GO:0008150,GO:0008152,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009579,GO:0009987,GO:0015980,GO:0016020,GO:0016021,GO:0016310,GO:0016491,GO:0016651,GO:0016655,GO:0017144,GO:0019637,GO:0019693,GO:0022900,GO:0022904,GO:0031224,GO:0034357,GO:0034641,GO:0042651,GO:0042773,GO:0042775,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0045333,GO:0046034,GO:0046483,GO:0048037,GO:0048038,GO:0050136,GO:0055086,GO:0055114,GO:0071704,GO:0071944,GO:0072521,GO:1901135,GO:1901360,GO:1901564",M00145,"ko00190,ko01100,map00190,map01100",R11945,,ko:K05575,RC00061,"COG1008@1|root,COG1008@2|Bacteria,1G0AX@1117|Cyanobacteria,1MKDK@1212|Prochloraceae",Proton_antipo_M,ndhD,"NDH-1 shuttles electrons from NAD(P)H, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient",0,1117|Cyanobacteria,1059,59919.PMM0150,100,,,NAD(P)H-quinone oxidoreductase subunit 4,WP_011131789.1,CDS
cugP,cds-WP_011131791.1,149447,150625,159,PMM0152,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000",,,H,"2.7.7.13,5.4.2.8","GO:0000166,GO:0001882,GO:0001884,GO:0002134,GO:0003674,GO:0003824,GO:0003983,GO:0005488,GO:0006011,GO:0006139,GO:0006725,GO:0006793,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009225,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0019103,GO:0032549,GO:0032551,GO:0032553,GO:0032557,GO:0034641,GO:0036094,GO:0043167,GO:0043168,GO:0043169,GO:0044237,GO:0044238,GO:0044281,GO:0046483,GO:0046872,GO:0051748,GO:0055086,GO:0070569,GO:0071704,GO:0097159,GO:0097367,GO:1901135,GO:1901265,GO:1901360,GO:1901363","M00114,M00361,M00362","ko00051,ko00520,ko01100,ko01110,ko01130,map00051,map00520,map01100,map01110,map01130","R00885,R01818",,"ko:K00966,ko:K16881","RC00002,RC00408","COG1208@1|root,COG1208@2|Bacteria,1G168@1117|Cyanobacteria,1MKCJ@1212|Prochloraceae","Hexapep,NTP_transferase",cugP,"Catalyzes the formation of UDP-glucose, from UTP and glucose 1-phosphate",8.87E-289,1117|Cyanobacteria,788,59919.PMM0152,100,,,NDP-sugar synthase,WP_011131791.1,CDS
metF,cds-WP_011131792.1,150609,151499,160,PMM0153,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,C,1.5.1.20,,M00377,"ko00670,ko00720,ko01100,ko01120,ko01200,ko01523,map00670,map00720,map01100,map01120,map01200,map01523","R01224,R07168",,ko:K00297,RC00081,"COG0685@1|root,COG0685@2|Bacteria,1G0GF@1117|Cyanobacteria,1MKKW@1212|Prochloraceae",MTHFR,metF,Alternative locus ID,1.41E-207,1117|Cyanobacteria,574,59919.PMM0153,100,,,methylenetetrahydrofolate reductase,WP_011131792.1,CDS
pedR,cds-WP_011131793.1,151577,151855,161,PMM0154,NC_005072.1,+,NA,,,,K,,,,,,,,,"COG2197@1|root,COG2197@2|Bacteria,1G7V9@1117|Cyanobacteria,1MMTK@1212|Prochloraceae",GerE,csgD,luxR family,6.69E-61,1117|Cyanobacteria,187,59919.PMM0154,100,,,helix-turn-helix transcriptional regulator,WP_011131793.1,CDS
PMM0155,cds-WP_011131794.1,152080,152556,162,PMM0155,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,S,4.6.1.1,,M00695,"ko00230,ko02025,ko04113,ko04213,map00230,map02025,map04113,map04213","R00089,R00434",,ko:K01768,RC00295,"COG2954@1|root,COG2954@2|Bacteria,1G5NQ@1117|Cyanobacteria,1MMP6@1212|Prochloraceae",CYTH,,Alternative locus ID,1.33E-114,1117|Cyanobacteria,328,59919.PMM0155,100,,,CYTH domain-containing protein,WP_011131794.1,CDS
ndhE,cds-WP_011131796.1,153482,153802,164,PMM0157,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,C,1.6.5.3,"GO:0003674,GO:0003824,GO:0003954,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0006091,GO:0006119,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008137,GO:0008150,GO:0008152,GO:0009117,GO:0009123,GO:0009126,GO:0009141,GO:0009144,GO:0009150,GO:0009161,GO:0009167,GO:0009199,GO:0009205,GO:0009259,GO:0009579,GO:0009987,GO:0015980,GO:0016020,GO:0016021,GO:0016310,GO:0016491,GO:0016651,GO:0016655,GO:0017144,GO:0019637,GO:0019693,GO:0022900,GO:0022904,GO:0030964,GO:0031224,GO:0032991,GO:0034357,GO:0034641,GO:0042651,GO:0042773,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044425,GO:0044436,GO:0044459,GO:0044464,GO:0045271,GO:0045272,GO:0045333,GO:0046034,GO:0046483,GO:0048037,GO:0048038,GO:0050136,GO:0055086,GO:0055114,GO:0070469,GO:0070470,GO:0071704,GO:0071944,GO:0072521,GO:0098796,GO:0098797,GO:0098803,GO:1901135,GO:1901360,GO:1901564,GO:1902494,GO:1990204",M00145,"ko00190,ko01100,map00190,map01100",R11945,,ko:K05576,RC00061,"COG0713@1|root,COG0713@2|Bacteria,1G6KK@1117|Cyanobacteria,1MMJ7@1212|Prochloraceae",Oxidored_q2,ndhE,"electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient. Cyanobacterial NDH-1 also plays a role in inorganic carbon- concentration",4.73E-63,1117|Cyanobacteria,193,59919.PMM0157,100,,nuoK,NADH-quinone oxidoreductase subunit NuoK,WP_011131796.1,CDS
ndhG,cds-WP_011131797.1,153804,154403,165,PMM0158,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,C,1.6.5.3,"GO:0003674,GO:0003824,GO:0003954,GO:0005488,GO:0005575,GO:0008137,GO:0008150,GO:0008152,GO:0016020,GO:0016021,GO:0016491,GO:0016651,GO:0016655,GO:0031224,GO:0044425,GO:0048037,GO:0048038,GO:0050136,GO:0055114",M00145,"ko00190,ko01100,map00190,map01100",R11945,,ko:K05578,RC00061,"COG0839@1|root,COG0839@2|Bacteria,1G2WH@1117|Cyanobacteria,1MM6P@1212|Prochloraceae",Oxidored_q3,ndhG,Belongs to the complex I subunit 6 family,4.99E-121,1117|Cyanobacteria,347,59919.PMM0158,100,,,NADH-quinone oxidoreductase subunit J,WP_011131797.1,CDS
ndhI,cds-WP_011131798.1,154417,155043,166,PMM0159,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,C,1.6.5.3,"GO:0003674,GO:0003824,GO:0003954,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0008137,GO:0008150,GO:0008152,GO:0009579,GO:0016020,GO:0016491,GO:0016651,GO:0016655,GO:0034357,GO:0042651,GO:0043167,GO:0043169,GO:0044424,GO:0044436,GO:0044464,GO:0046872,GO:0048037,GO:0048038,GO:0050136,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0071944",M00145,"ko00190,ko01100,map00190,map01100",R11945,,ko:K05580,RC00061,"COG1143@1|root,COG1143@2|Bacteria,1G0WD@1117|Cyanobacteria,1MKS8@1212|Prochloraceae","Fer4,Fer4_7",ndhI,"electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient",1.29E-141,1117|Cyanobacteria,400,59919.PMM0159,100,,ndhI,NAD(P)H-quinone oxidoreductase subunit I,WP_011131798.1,CDS
ndhA,cds-WP_011131799.1,155113,156231,167,NA,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,C,1.6.5.3,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0006091,GO:0008150,GO:0008152,GO:0009579,GO:0009987,GO:0015980,GO:0016020,GO:0016021,GO:0016491,GO:0031224,GO:0034357,GO:0042651,GO:0044237,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0045333,GO:0048037,GO:0048038,GO:0055114,GO:0071944",M00145,"ko00190,ko01100,map00190,map01100",R11945,,ko:K05572,RC00061,"COG1005@1|root,COG1005@2|Bacteria,1G2BI@1117|Cyanobacteria,1MM62@1212|Prochloraceae",NADHdh,ndhA,"electron donor, via FMN and iron-sulfur (Fe-S) centers, to quinones in the respiratory and or the photosynthetic chain. The immediate electron acceptor for the enzyme in this species is believed to be plastoquinone. Couples the redox reaction to proton translocation, and thus conserves the redox energy in a proton gradient",4.99E-253,1117|Cyanobacteria,696,59919.PMM0160,100,,nuoH,NADH-quinone oxidoreductase subunit NuoH,WP_011131799.1,CDS
gltA,cds-WP_011131800.1,156307,157452,168,PMM0161,NC_005072.1,-,NA,"br01601,ko00000,ko00001,ko00002,ko01000",iJN678.gltA,,C,2.3.3.1,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016740,GO:0016746,GO:0016999,GO:0017144,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044464,GO:0045333,GO:0046912,GO:0055114,GO:0071704,GO:0072350","M00009,M00010,M00012,M00740","ko00020,ko00630,ko01100,ko01110,ko01120,ko01130,ko01200,ko01210,ko01230,map00020,map00630,map01100,map01110,map01120,map01130,map01200,map01210,map01230",R00351,,ko:K01647,"RC00004,RC00067","COG0372@1|root,COG0372@2|Bacteria,1G1DI@1117|Cyanobacteria,1MKQU@1212|Prochloraceae",Citrate_synt,gltA,Belongs to the citrate synthase family,6.85E-276,1117|Cyanobacteria,754,59919.PMM0161,100,,,citrate synthase,WP_011131800.1,CDS
PMM0162,cds-WP_011131801.1,157532,158989,169,PMM0162,NC_005072.1,-,NA,,,,S,,,,,,,,,"2AHT9@1|root,3185U@2|Bacteria,1GIJY@1117|Cyanobacteria,1MND3@1212|Prochloraceae",,,Alternative locus ID,0,1117|Cyanobacteria,932,59919.PMM0162,100,,,hypothetical protein,WP_011131801.1,CDS
pspE,cds-WP_011131802.1,159071,159421,170,PMM0163,NC_005072.1,+,NA,,,,P,,,,,,,,,"COG0607@1|root,COG0607@2|Bacteria,1GES8@1117|Cyanobacteria,1MMS5@1212|Prochloraceae",Rhodanese,pspE,Alternative locus ID,2.93E-82,1117|Cyanobacteria,243,59919.PMM0163,100,,,rhodanese,WP_011131802.1,CDS
trpB,cds-WP_011131803.1,159422,160666,171,PMM0164,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,E,4.2.1.20,"GO:0000162,GO:0003674,GO:0003824,GO:0004834,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016053,GO:0016829,GO:0016835,GO:0016836,GO:0018130,GO:0019438,GO:0019752,GO:0034641,GO:0042401,GO:0042430,GO:0042435,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046219,GO:0046394,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",M00023,"ko00260,ko00400,ko01100,ko01110,ko01130,ko01230,map00260,map00400,map01100,map01110,map01130,map01230","R00674,R02340,R02722",,ko:K01696,"RC00209,RC00210,RC00700,RC00701,RC02868","COG0133@1|root,COG0133@2|Bacteria,1G0SQ@1117|Cyanobacteria,1MM3W@1212|Prochloraceae",PALP,trpB,The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine,3.18E-300,1117|Cyanobacteria,818,59919.PMM0164,100,,trpB,tryptophan synthase subunit beta,WP_011131803.1,CDS
sui1,cds-WP_011131804.1,160714,161025,172,PMM0165,NC_005072.1,+,NA,"ko00000,ko00001,ko03012",,,J,,,,"ko03013,map03013",,,ko:K03113,,"COG0023@1|root,COG0023@2|Bacteria,1GMGF@1117|Cyanobacteria,1MMIK@1212|Prochloraceae",SUI1,sui1,Translation initiation factor,7.97E-65,1117|Cyanobacteria,197,59919.PMM0165,100,,,translation initiation factor SUI1,WP_011131804.1,CDS
cysC,cds-WP_011131805.1,161069,161695,173,PMM0166,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000",,,F,2.7.1.25,"GO:0000103,GO:0000166,GO:0003674,GO:0003824,GO:0004020,GO:0005488,GO:0005524,GO:0006790,GO:0006793,GO:0006796,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009403,GO:0009404,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0017144,GO:0019748,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044249,GO:0044272,GO:0044550,GO:0070813,GO:0070814,GO:0097159,GO:0097367,GO:1901265,GO:1901363",M00176,"ko00230,ko00920,ko01100,ko01120,map00230,map00920,map01100,map01120","R00509,R04928",,ko:K00860,"RC00002,RC00078","COG0529@1|root,COG0529@2|Bacteria,1G21C@1117|Cyanobacteria,1MKY5@1212|Prochloraceae",APS_kinase,cysC,Catalyzes the synthesis of activated sulfate,5.09E-148,1117|Cyanobacteria,416,59919.PMM0166,100,,cysC,adenylyl-sulfate kinase,WP_011131805.1,CDS
purE,cds-WP_011131806.1,161711,162202,174,PMM0167,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko01000",,,F,5.4.99.18,,M00048,"ko00230,ko01100,ko01110,ko01130,map00230,map01100,map01110,map01130",R07405,,ko:K01588,RC01947,"COG0041@1|root,COG0041@2|Bacteria,1GCTW@1117|Cyanobacteria,1MMDM@1212|Prochloraceae",AIRC,purE,Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR),1.73E-108,1117|Cyanobacteria,313,59919.PMM0167,100,,purE,5-(carboxyamino)imidazole ribonucleotide mutase,WP_011131806.1,CDS
chlM,cds-WP_011131807.1,162339,163040,175,PMM0168,NC_005072.1,+,NA,"ko00000,ko00001,ko01000",,,H,2.1.1.11,"GO:0003674,GO:0003824,GO:0006725,GO:0006778,GO:0006779,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008171,GO:0008757,GO:0009058,GO:0009987,GO:0015979,GO:0015994,GO:0015995,GO:0016740,GO:0016741,GO:0018130,GO:0019438,GO:0032259,GO:0033013,GO:0033014,GO:0034641,GO:0036068,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0046148,GO:0046406,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",,"ko00860,ko01100,ko01110,map00860,map01100,map01110",R04237,,ko:K03428,"RC00003,RC00460","COG2227@1|root,COG2227@2|Bacteria,1G0BU@1117|Cyanobacteria,1MM4P@1212|Prochloraceae","Mg-por_mtran_C,PrmA,Ubie_methyltran",chlM,Alternative locus ID,1.44E-164,1117|Cyanobacteria,460,59919.PMM0168,100,,bchM,magnesium protoporphyrin IX methyltransferase,WP_011131807.1,CDS
rer03,cds-WP_011131808.1,163042,163770,176,PMM0169,NC_005072.1,-,NA,,,,K,,,,,,,,,"COG2197@1|root,COG2197@2|Bacteria,1G1TZ@1117|Cyanobacteria,1MKWM@1212|Prochloraceae","GerE,Response_reg",ycf29,response regulator,1.01E-164,1117|Cyanobacteria,461,59919.PMM0169,100,,,response regulator transcription factor,WP_011131808.1,CDS
rsmH,cds-WP_011131810.1,164984,165886,178,PMM0171,NC_005072.1,-,NA,"ko00000,ko01000,ko03009",,,J,2.1.1.199,"GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016434,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0070475,GO:0071424,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360",,,,,ko:K03438,,"COG0275@1|root,COG0275@2|Bacteria,1G0AR@1117|Cyanobacteria,1MKCQ@1212|Prochloraceae",Methyltransf_5,rsmH,Specifically methylates the N4 position of cytidine in position 1402 (C1402) of 16S rRNA,2.54E-212,1117|Cyanobacteria,587,59919.PMM0171,100,,rsmH,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,WP_011131810.1,CDS
